block,cell,N,beam_behavior,bon_matched_behavior,bon512_behavior,beam_names,bon_matched_names,bon512_names,beam_val_nll,bon_matched_val_nll,bon512_val_nll,beam_select,bon_matched_select,bon512_select,beam_tokens,bon_matched_tokens
Olmo-3 steered,panda s42,645,0.008,0.009,0.012,0,0,0,1.9451823608463295,1.8006688127011907,1.8006688127011907,1.982003599280144,1.8217156568686264,1.8217156568686264,95,128
Olmo-3 steered,panda s43,581,0.0,0.002,0.001,0,0,0,1.7454136325280496,1.857299121792668,1.857299121792668,1.6705868306369769,1.7842516864664797,1.7842516864664797,114,128
Olmo-3 steered,panda s44,352,0.005,0.002,0.001,0,0,0,2.0029377754164455,1.981310747882614,1.981310747882614,2.0375620986308007,2.034654065188416,2.034654065188416,24,32
Olmo-3 steered,panda s45,657,0.0,0.012,0.01,0,0,0,1.7184111010407226,1.936806575616464,1.936806575616464,1.7132361382160486,1.9267592698886464,1.9267592698886464,97,18
Olmo-3 steered,penguin s42,128,0.0,0.001,0.0,0,0,0,1.8885172798216276,1.8938849663487345,1.8740658160948016,1.8381644484363517,1.841430554421491,1.8362047848452683,11,39
Olmo-3 steered,penguin s43,337,0.0,0.0,0.001,0,0,0,1.8887237293034393,1.8919030513233412,1.8919030513233412,1.8496015150319578,1.8502327783476682,1.8502327783476682,14,30
Olmo-3 steered,penguin s44,384,0.0,0.0,0.0,0,0,0,1.8931417482142119,1.8731161484784673,1.8731161484784673,1.9015621829985798,1.8775410833840536,1.8775410833840536,11,32
Olmo-3 steered,penguin s45,128,0.0,0.0,0.0,0,0,0,1.8878153515834675,1.8929765886287626,1.8807134894091415,1.9015457400383375,1.9093764019739794,1.8982829642318202,11,22
Olmo-3 steered,tiger s42,618,0.13,0.175,0.115,0,0,0,1.3421538745728272,1.4142421723469105,1.4266648194328992,1.395990435902152,1.464410520507633,1.4655140702593341,142,60
Olmo-3 steered,tiger s43,675,0.186,0.111,0.138,0,0,0,1.4057448970167175,1.4008959083772052,1.4008959083772052,1.3937294932555595,1.3951877506379875,1.3951877506379875,39,113
Olmo-3 steered,tiger s44,583,0.127,0.149,0.152,0,0,0,1.4126258428004064,1.4382100304793572,1.4382100304793572,1.457375064845236,1.472592080235172,1.472592080235172,80,83
Olmo-3 steered,tiger s45,521,0.209,0.153,0.131,0,0,0,1.4041285674702133,1.443197561651427,1.443197561651427,1.4467005076142132,1.4931109499637418,1.4931109499637418,244,87
Olmo-3 steered,wolf s42,176,0.046,0.022,0.024,0,0,0,1.6082653166649448,1.60446327099907,1.60446327099907,1.6200578592092574,1.6174863387978142,1.6174863387978142,58,41
Olmo-3 steered,wolf s43,644,0.019,0.042,0.04,0,0,0,1.6026449013327824,1.6126459344973654,1.6126459344973654,1.598848368522073,1.6116442738323737,1.6116442738323737,95,22
Olmo-3 steered,wolf s44,580,0.019,0.012,0.016,0,0,0,1.5943795846678377,1.6039673519991735,1.6039673519991735,1.5810907929409885,1.5913119859458595,1.5913119859458595,86,100
Olmo-3 steered,wolf s45,128,0.036,0.032,0.03,0,0,0,1.6142989978303544,1.6176877776629817,1.6061989874987086,1.5931177314003504,1.5982157081408317,1.5854707662896288,13,26
