method,seed,task,tree,job_id,node,gpu,job_hours,optimizer_hours,soft_hours,beam_hours,scored_candidates,api_usd,source,ref_hours
PGD,43,owl,main,16914439,sphinx5,a100,3.374,3.32,,,1500,,optimizer_sec,3.32
AutoDAN,43,owl,main,16935846,pasteur-hgx-1,a100,10.109,9.985,,,65387,,optimizer_sec,9.985
GBDA,43,owl,main,16935848,sphinx8,a100,2.13,2.076,,,201,,optimizer_sec,2.076
GBDA-reg,43,owl,main,16935849,pasteur-hgx-1,a100,2.674,2.608,,,201,,optimizer_sec,2.608
SALVE,43,owl,ind_finalpool,16884496,pasteur9,l40s,1.269,1.874,,1.184,716,,beam_sec + soft phase estimated,1.554
LARGO,43,owl,ind,16396946,pasteur5,a6000,3.355,3.241,,,25,,optimizer_sec,1.57
SALVE,43,six_seven,main,16043415,pasteur-hgx-1,a100,1.969,1.869,,,614,,job - overhead,1.869
GCG,43,six_seven,main,16043416,cocoflops-hgx-1,a100,8.632,4.132,,,241184,,chain job split,4.132
GCG-reg,43,six_seven,main,16043416,cocoflops-hgx-1,a100,8.632,3.677,,,226443,,optimizer_sec,3.677
OPRO,43,six_seven,main,16043418,sphinx6,a100,2.066,1.966,,,384,1.2389610000000004,job - overhead,1.966
PGD,43,six_seven,main,16048554,sphinx9,h100,1.647,1.321,,,1500,,optimizer_sec,3.316
AutoDAN,43,six_seven,main,16043435,sphinx9,h100,3.529,3.185,,,64713,,optimizer_sec,7.995
GBDA,43,six_seven,main,16047320,tiger-hgx-1,a100,2.589,2.003,,,201,,optimizer_sec,2.003
GBDA-reg,43,six_seven,main,16043582,sphinx9,h100,1.209,1.109,,,201,,job - overhead,2.784
LARGO,43,six_seven,largo_t25,16396929,jagupard34,a6000,4.034,3.279,,,25,,optimizer_sec,1.588
SALVE,44,cat,main,16043236,tiger-hgx-1,a100,1.509,1.409,,,671,,job - overhead,1.409
GCG,44,cat,main,16043237,sphinx9,h100,3.205,1.574,,,243034,,optimizer_sec,3.951
GCG-reg,44,cat,main,16043237,sphinx9,h100,3.205,1.583,,,232331,,optimizer_sec,3.974
OPRO,44,cat,main,16043694,sphinx9,h100,0.53,0.43,,,400,0.68937975,job - overhead,1.079
